x,Curve1,Curve2
0.474066,-0.984918,-0.990031
0.529838,-1.00454,-1.01049
3.56944,-2.07385,-2.12539
3.90407,-2.15363,-2.24813
4.01562,-2.18022,-2.2828
4.43391,-2.25267,-2.41281
4.57334,-2.2681,-2.45614
5.13107,-2.32981,-2.67075
5.68879,-2.40703,-2.88536
5.85611,-2.44086,-2.94974
6.02342,-2.47469,-3.02719
6.55326,-2.49377,-3.27244
7.13887,-2.51281,-3.54351
7.6966,-2.4906,-3.80166
8.00335,-2.47838,-3.93857
8.47741,-2.50282,-4.15016
8.56107,-2.50714,-4.18175
8.89571,-2.51664,-4.30814
8.95148,-2.51589,-4.3292
9.45343,-2.50913,-4.51793
9.64863,-2.5065,-4.5932
9.70441,-2.51063,-4.61471
10.039,-2.53536,-4.66802
10.3458,-2.53033,-4.71689
10.4016,-2.53261,-4.72578
10.9314,-2.55422,-4.74908
11.4891,-2.54681,-4.77361
12.0747,-2.53902,-4.76055
12.3815,-2.54321,-4.7537
13.5248,-2.55883,-4.68034
13.7758,-2.56226,-4.65257
14.3614,-2.57749,-4.58777
15.4769,-2.60649,-4.46596
16.1461,-2.62389,-4.3991
16.4529,-2.62717,-4.36846
17.401,-2.63732,-4.26613
18.1818,-2.64568,-4.17844
18.2934,-2.64687,-4.17457
19.2694,-2.73839,-4.14075
19.604,-2.78363,-4.12915
20.1617,-2.85903,-4.12372
20.6637,-2.92179,-4.11884
21.7234,-3.05427,-4.15215
22.8388,-3.19372,-4.2242
23.4802,-3.2739,-4.33101
23.5639,-3.28013,-4.34494
25.0976,-3.39422,-4.57183
26.3246,-3.4855,-4.64952
26.9939,-3.56183,-4.69189
29.7546,-3.87672,-4.78722
34.4116,-4.40789,-5.09953
44.0045,-5.50204,-6.17473
49.9442,-6.17952,-6.82556
50.0837,-6.19543,-6.84084
